category,page,name,price,normal_price,scan_time
Fruits,1,"Apples SIMERENCO, kg",9.90,9.90,2021-11-02 11:55:09.963405
Fruits,1,ANITA FRUIT Curmale mazafati 550g,52.90,52.90,2021-11-02 11:55:09.963405
Fruits,1,Struguri negri 1kg,15.90,15.90,2021-11-02 11:55:09.963405
Fruits,1,Lămâie la plasă 500 gr,11.90,11.90,2021-11-02 11:55:09.963405
Fruits,1,Pere Conference,14.95                                            /0.5kg,14.95                                            /0.5kg,2021-11-02 11:55:09.963405
Fruits,1,Mere Granny Smith Extra 1kg,10.90,10.90,2021-11-02 11:55:09.963405
Fruits,1,Mere golden 1kg,10.90,10.90,2021-11-02 11:55:09.963405
Fruits,1,Mere roșii 1kg,7.95,10.50,2021-11-02 11:55:09.963405
Fruits,1,Cocos 1kg,34.90,34.90,2021-11-02 11:55:09.963405
Fruits,1,Ananas 1kg,33.95,35.90,2021-11-02 11:55:09.963405
Fruits,1,Avocado 1kg,88.90,88.90,2021-11-02 11:55:09.963405
Fruits,1,Mango 1kg,69.90,69.90,2021-11-02 11:55:09.963405
Fruits,1,Mandarine 1kg,19.95,21.50,2021-11-02 11:55:09.963405
Fruits,1,Kaki 1kg,39.90,39.90,2021-11-02 11:55:09.963405
Fruits,1,Lamaie 1kg,23.90,23.90,2021-11-02 11:55:09.963405
Fruits,1,Kiwi 1kg,32.95,49.90,2021-11-02 11:55:09.963405
Fruits,1,Grapefruit 1kg,17.95,34.90,2021-11-02 11:55:09.963405
Fruits,1,Rodii 1kg,36.90,36.90,2021-11-02 11:55:09.963405
Fruits,1,Banane 1kg,20.40,20.40,2021-11-02 11:55:09.963405
Fruits,1,Portocale  1kg,34.90,34.90,2021-11-02 11:55:09.963405
Vegetables,1,"PUMPKIN, kg",3.75,5.50,2021-11-02 11:55:09.963405
Vegetables,1,Mură'n Gură Morcovi fierți la aburi curățat în vid 300g,10.90,10.90,2021-11-02 11:55:09.963405
Vegetables,1,Mură'n Gură Sfeclă fiartă la aburi curățată în vid 450g,13.20,13.20,2021-11-02 11:55:09.963405
Vegetables,1,BOMAZA Porumb Dulce Fiert 2 buc.,34.90,34.90,2021-11-02 11:55:09.963405
